store_name,review,rating,cleaned_review,granite_batch_output,summary
McDonald's,Great in fast food ï¿½ï¿½ï¿,5 stars,great in fast food,,the review expresses a positive opinion about mcdonalds highlighting its strength in fast food service
McDonald's,"Excellent location and very good atmosphere, excellent service",5 stars,excellent location and very good atmosphere excellent service,,the review expresses a positive opinion praising the stores excellent location atmosphere and service
McDonald's,All very good food attention,5 stars,all very good food attention,,the review expresses a positive opinion highlighting good food quality and attentive service at the mcdonalds store
McDonald's,Quiet open the local January 1.,4 stars,quiet open the local january 1,,the review quiet open the local january 1 expresses a neutral to slightly positive sentiment indicating a peaceful and orderly start to the year at the local mcdonalds
McDonald's,Very. Well,5 stars,very well,,the review expresses a positive opinion highlighting that the mcdonalds store was performed very well note the given review text is extremely brief and lacks specific details typically a review would include more context about aspects like service food quality speed etc here the summary reflects the overall positive sentiment but lacks particulars due to the reviews minimal content
McDonald's,They treated me very badly.,1 star,they treated me very badly,,the main opinion of the review is negative as the customer expresses dissatisfaction with the poor treatment received at the mcdonalds store
McDonald's,The service is very good,5 stars,the service is very good,,the review expresses a positive opinion about the service at this mcdonalds store
McDonald's,To remove hunger is enough,4 stars,to remove hunger is enough,,the review humorously implies satisfaction suggesting mcdonalds effectively alleviates hunger with its food
McDonald's,"It's good, but lately it has become very expensive.",5 stars,its good but lately it has become very expensive,,the review expresses a predominantly positive sentiment about mcdonalds but highlights a recent concern regarding increased prices
McDonald's,they took good care of me,5 stars,they took good care of me,,the review expresses a positive sentiment highlighting good service at the mcdonalds store
